Title,Artist,Type,Key,BPM,Feel,Drums,Bass,Guitar,Keys,Vocals,Overall,Best For,Teaching Focus,Notes
"10,000 Reasons (Bless the Lord)",Matt Redman,Worship,G,73,Straight 4/4,2,2,2,2,3,2,Fall — first song (W2–3),"Four chords, dynamics, singing while playing",The gold-standard starter worship song.
Build My Life,Passion / Housefires,Worship,E,68,Straight,2,2,3,3,3,2,Fall,Charts & the number system,"Simple, powerful; capo-friendly for guitar."
Here I Am to Worship,Tim Hughes,Worship,E,72,Straight,2,2,2,2,3,2,Fall,Playing softly / building,"Classic, easy, on-theme lyrics."
Great Are You Lord,All Sons & Daughters,Worship,A,72,Straight,2,2,2,2,3,2,Winter,Space & dynamics,Breathy lead vocal; leave room.
Cornerstone,Hillsong,Worship,C,72,6/8,2,1,2,2,4,2,Fall,Hymn feel in 6/8,Big chorus vocal; very easy bass.
Who You Say I Am,Hillsong Worship,Worship,C,140,Straight (half-time feel),2,2,2,2,3,2,Fall,Half-time feel,"Simple, singable, testimony song."
Lord I Need You,Matt Maher,Worship,A,100,Straight,2,2,3,3,3,2,Winter,Piano-driven arrangement,Great for keys players to lead.
King of My Heart,Bethel,Worship,C,138,Driving straight,3,3,3,3,3,3,Winter,"Loop-based bass, dynamics","Simple parts, big dynamic build."
What A Beautiful Name,Hillsong Worship,Worship,D,68,Straight,2,2,3,3,4,3,Fall — unit (W3–4),Dynamics masterclass,Key change & vocal range at the end.
This Is Amazing Grace,Phil Wickham,Worship,G,122,Driving straight,3,3,3,3,4,3,Fall — unit (W5–6),"Playing to a click, energy",Tests timing discipline.
Goodness of God,Bethel,Worship,A,63,6/8,3,2,3,3,4,3,Fall — unit (W10–11),"6/8 feel, serving the song",Current #1; vocal range is the challenge.
Living Hope,Phil Wickham,Worship,G,68,Straight,3,3,3,3,4,3,Winter,Massive dynamic build,From whisper to wall of sound.
King of Kings,Hillsong Worship,Worship,D,72,6/8,3,3,3,3,4,3,Winter,"6/8, harmonies, storytelling",Great vocal-harmony teaching song.
Battle Belongs,Phil Wickham,Worship,A,76,Straight,3,3,3,3,4,3,Winter,Anthemic rhythm section,"Solid pocket, big chorus."
Way Maker,Sinach / Leeland,Worship,E,132,Straight (half-time feel),3,3,3,3,4,3,Winter,Spontaneous moments,"Simple chords, room to improvise."
Yes I Will,Vertical Worship,Worship,G,70,Straight,3,3,3,3,4,3,Winter,Groove + build,Repetitive on purpose; lock the groove.
House of the Lord,Phil Wickham,Worship,A,74,Upbeat straight,3,3,4,3,4,3,Winter,"Guitar riff, upbeat energy","Fun, celebratory."
Graves Into Gardens,Elevation Worship,Worship,B,70,Straight,3,3,3,4,4,3,Winter,Dynamics + spontaneous tag,Keys carry the intro.
Same God,Elevation Worship,Worship,A,66,Straight,3,3,3,4,4,3,Winter,Patience & the long build,Rewards a band that can wait.
O Come to the Altar,Elevation Worship,Worship,A,72,Straight,3,3,3,3,4,3,Winter,Invitation / dynamics,"Soft verses, full chorus."
Raise a Hallelujah,Bethel,Worship,D,74,Straight,3,3,4,3,4,3,Winter,Electric guitar moment,Builds to a declaration.
Firm Foundation (He Won't),Cody Carnes,Worship,A,78,Gospel straight,3,3,4,3,4,3,Winter,Groove & call-and-response,"Fun, feel-forward."
Do It Again,Elevation Worship,Worship,A,66,Straight,3,3,3,4,4,3,Winter,Build + repeated tag,"Simple chords, big payoff."
Gratitude,Brandon Lake,Worship,G,72,Straight,3,3,3,3,5,4,Winter,"Simple band, huge vocal",The vocal moment is everything.
Revelation Song,Kari Jobe,Worship,C,72,6/8,3,3,3,3,5,4,Winter,Vocal range & melisma,A vocal showcase.
Reckless Love,Cory Asbury,Worship,D,62,Straight,3,3,4,3,4,4,Winter,Space then big build,Dynamics discipline.
O Praise the Name (Anastasis),Hillsong Worship,Worship,A,68,6/8,3,3,3,3,5,4,Winter,Hymn-style build,"Powerful, patient arrangement."
Another In The Fire,Hillsong UNITED,Worship,A,74,Straight,4,4,4,4,4,4,Spring,Long-form arrangement,Advanced dynamics across ~6 min.
Million Little Miracles,Elevation / Maverick City,Worship,E,108,Gospel groove,4,4,4,4,4,4,Spring,Feel & gospel groove,Tricky but joyful; stretch goal.
